,DJF,MAM,JJA,SON
statistic,0.41515837104072395,0.29527272727272724,0.3235444330949948,0.11727158948685856
pValue,1.7034736092866988e-06,5.1646245518753684e-05,0.00012908640996551015,0.3550958599611915
